Channel,is_5Ghz,SSID,Transmitter_Adress,Channel_Width,PHY_Type
132,1,TUvisitor,00:a3:8e:a4:e9:9e,20 or 40,8
132,1,eduroam,00:a3:8e:a4:e9:9f,20 or 40,8
1,0,eduroam,00:a3:8e:6c:69:70,20,7
1,0,tudelft-dastud,00:a3:8e:6c:69:72,20,7
1,0,TUvisitor,00:a3:8e:6c:69:71,20,7
1,0,eduroam,00:a3:8e:6c:69:70,20,7
5,0,eduroam,00:a3:8e:a4:e9:90,20,7
5,0,tudelft-dastud,00:a3:8e:a4:e3:52,20,7
5,0,TUvisitor,00:a3:8e:a4:e3:51,20,7
5,0,TUvisitor,00:a3:8e:a4:e9:91,20,7
5,0,eduroam,00:a3:8e:a4:e3:50,20,7
5,0,eduroam,00:a3:8e:a4:e9:90,20,7
9,0,TUvisitor,00:a3:8e:a4:e3:31,20,7
9,0,eduroam,00:a3:8e:a4:e8:00,20,7
9,0,eduroam,00:a3:8e:a4:e3:30,20,7
9,0,tudelft-dastud,00:a3:8e:a4:e8:02,20,7
